Name	Age	Nationality	Club	Joined
Yan Hao	19	China PR	Henan Jianye FC	2016-07-15
M. Ozga	18	Poland	Jagiellonia Białystok	2018-07-09
F. Nicastro	36	Italy	Neuchâtel Xamax	2017-07-26
P. Kekeris	18	Australia	Central Coast Mariners	2018-04-07
M. O'Connor	22	Republic of Ireland	Bray Wanderers	2018-06-13
G. Henriksson	20	Sweden	IF Elfsborg	2018-08-21
J. Doyle-Hayes	19	Republic of Ireland	Aston Villa	2016-07-01
S. Gustafsson	18	Sweden	Örebro SK	2018-08-23
J. Brady	21	Republic of Ireland	Limerick FC	2018-07-02
E. Dubickas	19	Lithuania	Lecce	2018-07-01
K. Broda	16	Poland	Wisła Kraków	2017-08-18
L. Brook	17	Australia	Adelaide United	2017-06-01
D. Gibbons	20	Republic of Ireland	Bray Wanderers	2018-01-05
D. Palacios	21	Colombia	Jaguares de Córdoba	2016-01-18
M. Knox	18	Scotland	Livingston FC	2016-07-01
D. Makoma	19	France	Stevenage	2018-11-10
W. Długosz	18	Poland	Korona Kielce	2018-02-08
J. Giraldo	20	Colombia	Independiente Medellín	2017-09-04
L. Demaj	20	Germany	SV Meppen	2017-07-01
J. King	17	Australia	Sydney FC	2018-09-11
A. Al Meqran	21	Saudi Arabia	Al Raed	2018-07-28
L. Soldini	17	Switzerland	FC Lugano	2018-10-07
M. Al Shudukhi	19	Saudi Arabia	Al Raed	2018-01-01
J. Skotadis	18	Australia	Sydney FC	2018-09-11
T. Warner	44	Trinidad & Tobago	Accrington Stanley	2018-08-03
M. Bustgaard Larsen	18	Norway	Odds BK	2017-03-06
D. Walters	19	England	Coventry City	2018-08-03
C. McLennan	18	Scotland	Aberdeen	2015-07-01
A. Klimczak	20	Poland	Arka Gdynia	2018-07-09
A. Al Sabahi	21	Saudi Arabia	Al Batin	2018-08-15
G. Nyberg	20	Sweden	IK Sirius	2018-01-17
K. Høgh	17	Denmark	Randers FC	2017-12-07
B. Grøtterud	19	Norway	FK Bodø/Glimt	2018-06-01
R. Campbell	17	England	Notts County	2017-01-01
O. Kåhed	19	Sweden	Örebro SK	2018-07-20
Feng Boxuan	21	China PR	Guangzhou Evergrande Taobao FC	2017-07-14
R. Yamamoto	17	Japan	V-Varen Nagasaki	2018-04-04
P. Sokół	18	Poland	Korona Kielce	2016-08-31
R. Najjarine	18	Australia	Melbourne City FC	2017-07-18
P. Durin	17	Croatia	Portsmouth	2018-07-30
Xue Yanan	28	China PR	Changchun Yatai FC	2018-02-10
J. Olstad	16	Norway	Sarpsborg 08 FF	2017-11-08
M. Kaufmann	17	Denmark	Aalborg BK	2018-08-06
E. Bojang	17	Sweden	Hammarby IF	2018-01-01
O. Sahraoui	17	Norway	Vålerenga Fotball	2018-11-24
O. Jonsson	21	Sweden	Djurgårdens IF	2014-01-13
B. Slisz	19	Poland	Zagłębie Lubin	2018-02-07
P. Kirk	20	Republic of Ireland	Bohemian FC	2017-11-16
J. Skov Hansen	25	Denmark	Randers FC	2018-01-10
E. Ceide	16	Norway	Rosenborg BK	2018-07-01
S. Phillips	40	England	Yeovil Town	2017-08-01
B. Waine	16	New Zealand	Wellington Phoenix	2018-01-01
J. Lambert	19	England	Dundee FC	2017-08-01
T. Noda	20	Japan	Vissel Kobe	2018-01-31
S. Noreña	19	Colombia	Envigado FC	2018-03-01
L. Smyth	16	Northern Ireland	Stevenage	2018-01-01
G. Newell	21	England	Motherwell	2017-07-25
M. Yıldız	19	Turkey	Kasimpaşa SK	2016-12-12
A. Scott	18	Northern Ireland	Accrington Stanley	2018-08-13
B. Żynel	20	Poland	Wisła Płock	2018-06-01
T. Koch	17	Austria	SK Sturm Graz	2018-07-01
A. Romairone	18	Italy	Carpi	2018-08-03
T. Hama	20	Japan	Hokkaido Consadole Sapporo	2016-07-01
A. Georgiou	18	Cyprus	Stevenage	2017-04-03
T. Yasui	19	Japan	Vissel Kobe	2017-01-01
H. Abdulmajeed	21	Saudi Arabia	Ohod Club	2016-07-01
H. Hauso	17	Norway	Vålerenga Fotball	2018-06-07
J. Stevens	20	England	Oxford United	2014-07-01
Ning Weichen	21	China PR	Beijing Sinobo Guoan FC	2017-07-14
G. Tolino	18	Switzerland	FC St. Gallen	2018-06-30
A. McCann	18	Scotland	St. Johnstone FC	2018-07-01
S. Boyd	20	Republic of Ireland	Shamrock Rovers	2016-04-30
H. Saruta	19	Japan	Kashiwa Reysol	2018-01-01
D. Bedoya	24	Colombia	New York City FC	2018-08-09
M. Köstenbauer	16	Austria	FC Admira Wacker Mödling	2018-07-01
J. Diaz	17	Colombia	Independiente Medellín	2018-11-10
Dong Honglin	22	China PR	Dalian YiFang FC	2016-01-01
C. Moore	18	Scotland	Dundee FC	2016-01-01
D. Mandroiu	19	Republic of Ireland	Bohemian FC	2018-12-03
H. Biggins	22	England	Fleetwood Town	2017-07-04
K. Yakob	17	Sweden	BK Häcken	2018-05-14
S. Opsahl	18	Norway	Vålerenga Fotball	2018-08-07
K. Askildsen	17	Norway	Stabæk Fotball	2018-09-21
R. Cunningham	20	Scotland	Hamilton Academical FC	2014-07-01
A. Weidinger	21	Germany	SSV Jahn Regensburg	2017-07-29
T. Möller	19	Germany	VfL Osnabrück	2017-07-01
A. Al Suhaimi	21	Saudi Arabia	Ohod Club	2018-08-30
A. Stamatelopoulos	19	Australia	Adelaide United	2017-09-22
A. Lesiotis	18	Australia	Melbourne City FC	2018-02-24
L. Beckemeyer	18	Germany	VfL Osnabrück	2018-07-01
M. Nelson	23	United States	Houston Dynamo	2018-01-19
M. Boe Mikkelsen	18	Denmark	Vendsyssel FF	2018-07-01
M. Ormazábal	19	Chile	Curicó Unido	2016-01-01
D. Parkhouse	18	Northern Ireland	Sheffield United	2017-07-01
C. Brown	20	England	Cardiff City	2018-01-09
C. Hauervig	19	Denmark	Brøndby IF	2018-01-08
W. Jääskeläinen	19	Finland	Crewe Alexandra	2017-08-15
C. Cañizales	19	Colombia	Boyacá Chicó FC	2016-05-28
V. Vesiaho	19	Finland	HJK Helsinki	2016-10-25
R. Fujimura	19	Japan	Hokkaido Consadole Sapporo	2018-01-01
S. Pryce	18	England	Swindon Town	2018-07-01
G. Zuñiga	18	Chile	CD O'Higgins	2017-01-01
T. Romboli	19	Italy	Livorno	2016-07-01
S. Bohan	17	Republic of Ireland	Bohemian FC	2018-04-27
F. Gemmi	21	Italy	Livorno	2016-07-01
J. Brendieck	19	Germany	MSV Duisburg	2018-07-01
A. Mahlonoko	16	South Africa	Orlando Pirates	2018-08-03
L. Simpson	23	England	Macclesfield Town	2018-08-02
A. Ahl Holmström	19	Sweden	Kalmar FF	2018-09-30
E. Gumbs	20	England	Tranmere Rovers	2014-08-12
G. Tsitaishvili	17	Ukraine	Dynamo Kyiv	2017-07-01
N. Corbet	23	Republic of Ireland	Waterford FC	2018-01-01
B. Bytyqi	21	Albania	Aalborg BK	2016-07-01
Nan Xiaoheng	22	China PR	Jiangsu Suning FC	2018-01-01
M. Al Baqawi	20	Saudi Arabia	Al Taawoun	2017-01-01
A. Kappenberger	21	Denmark	Hobro IK	2018-07-01
C. Gutiérrez	18	Chile	CD Antofagasta	2016-07-01
Liang Jinhu	21	China PR	Jiangsu Suning FC	2018-01-01
Jin Qi	20	China PR	Henan Jianye FC	2017-02-01
N. Ziswiler	18	Switzerland	FC Thun	2018-07-01
Zheng Zhiming	19	China PR	Guangzhou R&F; FC	2018-01-01
J. Larsen	18	Norway	Sarpsborg 08 FF	2016-03-18
L. Baines	19	England	Fleetwood Town	2017-07-01
O. Klitten	18	Denmark	Aalborg BK	2018-04-29
K. Yamada	18	Japan	Yokohama F. Marinos	2018-01-01
C. Walsh-O'Loghlen	19	Republic of Ireland	Limerick FC	2017-07-30
J. Delianov	18	Australia	Melbourne City FC	2017-06-01
J. Riquelme	18	Chile	CD Huachipato	2018-01-01
A. Al Moghir	21	Saudi Arabia	Al Taawoun	2013-11-15
K. Kubota	21	Japan	Kashima Antlers	2015-01-01
N. Senoo	21	Japan	Gamba Osaka	2015-01-01
G. Meli	19	Italy	Empoli	2016-07-01
G. Severinsen	18	Norway	Tromsø IL	2018-08-05
Chen Zhechao	23	China PR	Shandong Luneng TaiShan FC	2016-01-01
E. Damgaard	19	Denmark	FC Nordsjælland	2017-07-06
Zhang Lingfeng	21	China PR	Jiangsu Suning FC	2018-02-28
M. Boney	20	England	Blackpool	2016-07-25
S. Kayembe	17	Sweden	IK Sirius	2018-03-29
R. Niizato	22	Japan	V-Varen Nagasaki	2018-01-01
F. Tauchhammer	16	Austria	Wolfsberger AC	2018-07-01
Zhou Ting	39	China PR	Dalian YiFang FC	2017-02-15
O. Björtuft	19	Norway	Odds BK	2017-10-27
B. Chevreuil	21	Haiti	La Berrichonne de Châteauroux	2017-07-01
Anwar Memet Ali	20	China PR	Guizhou Hengfeng FC	2017-02-01
J. Iaciofano	19	England	Northampton Town	2017-05-11
G. Pintidis	18	Germany	FC Ingolstadt 04	2017-07-01
M. Frendrup	17	Denmark	Brøndby IF	2018-02-11
N. Al Farshan	19	Saudi Arabia	Al Nassr	2018-01-25
Liu Shibo	21	China PR	Guangzhou Evergrande Taobao FC	2016-01-01
N. Baba	21	Republic of Ireland	Waterford FC	2018-07-01
N. Marthinussen	18	Norway	SK Brann	2018-05-03
D. Murphy	23	Republic of Ireland	Limerick FC	2018-07-01
T. Ko	20	Japan	Gamba Osaka	2017-01-01
A. Ekblad	30	Sweden	Dalkurd FF	2008-01-01
Wu Wei	21	China PR	Tianjin Quanjian FC	2018-02-28
P. Azizi	30	Sweden	Dalkurd FF	2011-02-18
K. Sanada	19	Japan	Shonan Bellmare	2017-07-01
A. Collins	18	England	Exeter City	2017-07-01
J. Sparkes	17	England	Exeter City	2017-07-01
F. Bustamante	19	Argentina	Club Atlético Tigre	2018-07-01
P. Świątko	19	Poland	Wisła Kraków	2017-09-14
B. Gradecki	18	Poland	Wisła Płock	2017-07-10
A. Knüver	19	Germany	SC Preußen Münster	2018-01-01
C. Blues	20	Scotland	Livingston FC	2018-07-01
N. Hatta	32	Japan	Júbilo Iwata	2005-01-01
K. Kouassivi-Benissan	19	Finland	HJK Helsinki	2018-01-01
A. Czaplak	21	Poland	Zagłębie Sosnowiec	2018-07-01
C. Kirby	19	England	Sheffield Wednesday	2015-10-21
A. Öhman	20	Sweden	IFK Göteborg	2017-09-01
R. Millen	23	Scotland	Kilmarnock	2018-07-13
A. Vergara	22	Chile	Unión La Calera	2018-01-01
M. Al Saeed	21	Saudi Arabia	Al Fateh	2016-07-01
R. Sears	19	England	Shrewsbury	2016-12-17
D. Thøgersen	18	Denmark	Aarhus GF	2017-05-18
Yao Junsheng	22	China PR	Shandong Luneng TaiShan FC	2016-07-01
D. Sesay	19	England	Crawley Town	2018-08-01
F. Norman	18	England	Exeter City	2018-09-04
N. Gribenco	21	Denmark	Aarhus GF	2016-06-01
A. André Jr	21	Morocco	Bristol Rovers	2017-08-02
R. Hauge	16	Norway	FK Bodø/Glimt	2017-09-01
T. Nagaishi	22	Japan	Cerezo Osaka	2018-02-01
I. Aliu	18	Switzerland	FC Zürich	2016-07-01
H. Smith	19	England	Bristol City	2018-09-26
K. Thiesson Kristensen	18	Denmark	Aarhus GF	2017-08-01
J. Cajuste	18	Sweden	FC Midtjylland	2018-07-01
M. Tilio	16	Australia	Sydney FC	2018-09-11
S. Melvin	23	Canada	Vancouver Whitecaps FC	2018-04-02
R. Al Najjar	21	Saudi Arabia	Al Shabab	2018-08-23
S. Graves	19	Denmark	Randers FC	2018-02-18
Deng Yubiao	21	China PR	Guangzhou Evergrande Taobao FC	2017-07-14
S. Bareiro	19	Paraguay	CD Huachipato	2017-08-28
C. Romaña	18	Colombia	Boyacá Chicó FC	2018-05-04
H. Ræstad	18	Norway	Molde FK	2018-07-19
K. Ramè	20	France	Foggia	2017-08-04
D. Mamaliga	17	Moldova	Bray Wanderers	2018-05-25
E. Harloff	19	Norway	SK Brann	2018-07-08
L. Kerrigan	18	Republic of Ireland	Sligo Rovers	2018-03-09
F. Delaveris	17	Norway	Odds BK	2018-05-09
A. Daniels	19	Canada	Toronto FC	2016-07-08
J. Dunn	17	Canada	Toronto FC	2017-09-17
A. Read	18	England	Luton Town	2016-11-22
F. Mortensen	19	Denmark	AC Horsens	2018-07-01
M. Wolfe	18	England	Barnsley	2017-10-13
J. Caldwell	22	United States	New York City FC	2018-02-07
H. Andersson	19	Sweden	Trelleborgs FF	2016-12-16
B. Zamora	20	Colombia	Independiente Santa Fe	2018-04-27
B. Taverner	19	England	Oxford United	2018-06-20
J. Osobiński	18	Poland	Korona Kielce	2018-07-14
M. Skjellerup	22	Denmark	Hobro IK	2015-07-01
L. Wade-Slater	20	Republic of Ireland	Stevenage	2016-11-08
T. Stevenson	19	England	Charlton Athletic	2018-05-14
S. Twine	18	England	Swindon Town	2016-04-29
C. McWilliams	17	England	Northampton Town	2018-11-06
J. Valbuena	20	Colombia	Independiente Medellín	2018-07-13
K. Ogudugu	17	Norway	Vålerenga Fotball	2018-11-11
I. Umbdenstock	19	France	FC Sochaux-Montbéliard	2018-07-01
P. Niyongabire	18	Burundi	Adelaide United	2017-10-01
A. Kräuchi	20	Switzerland	FC St. Gallen	2017-07-01
D. Thiam	20	Senegal	SPAL	2016-03-09
J. Rowland	16	England	Shrewsbury	2016-07-01
W. Dean	17	England	Exeter City	2018-07-01
A. Reghba	18	Republic of Ireland	Bohemian FC	2018-09-08
R. Graydon	19	Republic of Ireland	Bohemian FC	2018-09-08
J. Conze	18	Germany	SC Preußen Münster	2018-05-01
Carlos Mendes Gomes	19	Spain	Morecambe	2018-05-09
D. Hodzic	22	Croatia	Vejle Boldklub	2017-07-27
T. Nakagawa	25	Japan	Yokohama F. Marinos	2015-01-01
C. Øyvann	18	Norway	FK Bodø/Glimt	2018-06-27
L. Brown	19	Scotland	Motherwell	2017-07-01
E. McCue	17	Sweden	Houston Dynamo	2018-10-30
A. Skindlo	19	Norway	FK Bodø/Glimt	2018-06-27
K. Konstandopoulos	19	Australia	Adelaide United	2017-09-22
K. Salazar	19	Colombia	Atlético Huila	2018-07-06
S. Sarri	17	Italy	Foggia	2018-07-01
O. Schindler	18	Hungary	SC Paderborn 07	2018-07-01
M. Arena	19	Italy	Foggia	2018-07-01
L. Cavallini	18	Italy	Foggia	2018-07-01
B. Hvidt	18	Denmark	Aarhus GF	2016-05-07
S. Pollock	17	England	Northampton Town	2018-09-29
J. Baxter	17	England	Preston North End	2018-07-01
T. Stead	18	England	Preston North End	2018-07-01
A. O'Reilly	17	Republic of Ireland	Preston North End	2018-07-01
R. Meshino	20	Japan	Gamba Osaka	2017-01-01
Zhang Hengyuan	21	China PR	Changchun Yatai FC	2018-02-18
C. Royo	17	Germany	SV Darmstadt 98	2018-07-24
Ding Bowei	21	China PR	Tianjin TEDA FC	2018-01-01
M. Grabowski	18	Poland	Wisła Kraków	2018-07-01
L. Catherall	18	England	Gillingham	2018-07-01
A. Bark	17	Sweden	Örebro SK	2016-12-22
L. Hunn	19	Switzerland	Grasshopper Club Zürich	2018-07-01
C. Pavéz	19	Chile	Curicó Unido	2018-03-17
Ali Shirmemet	21	China PR	Henan Jianye FC	2018-02-27
T. Harigaya	19	Japan	Júbilo Iwata	2017-01-01
Min Gyeong Min	22	Korea Republic	Daegu FC	2017-07-01
C. Murphy	18	Republic of Ireland	Cork City	2018-07-06
A. Bærtelsen	18	Denmark	Aalborg BK	2018-04-18
Abdugheni Abduhamit	20	China PR	Jiangsu Suning FC	2018-01-07
Lee Dong Hee	21	Korea Republic	Jeju United FC	2018-07-01
J. Svenningsen	23	Denmark	Vendsyssel FF	2018-06-25
L. Mwandwe	17	England	Shrewsbury	2018-10-09
D. Mehmedovic	20	Austria	SKN St. Pölten	2017-06-01
G. Smith	18	Northern Ireland	Dundalk	2018-03-08
Cai Haojian	22	China PR	Guangzhou R&F; FC	2018-01-01
Kim Jong Jin	19	Korea Republic	Gyeongnam FC	2018-01-01
Yang Fangzhi	21	China PR	Dalian YiFang FC	2017-01-01
T. Schneider	20	Germany	KFC Uerdingen 05	2017-07-01
L. Reilly	18	England	Crewe Alexandra	2017-04-25
S. Bugge Jepsen	18	Denmark	Aarhus GF	2017-07-01
F. Murray	19	Scotland	Hibernian	2017-01-01
M. Najjar	18	Australia	Melbourne City FC	2018-02-13
J. Harboe	18	Denmark	Odense Boldklub	2018-04-09
J. García	19	Chile	Audax Italiano	2018-01-01
A. McGovern	19	Republic of Ireland	Bray Wanderers	2018-02-01
A. Delap	19	Republic of Ireland	Derry City	2018-03-12
M. Larsen	16	Denmark	Esbjerg fB	2018-01-01
E. López	18	Colombia	Envigado FC	2018-10-12
M. Bloomfield	21	England	Hamilton Academical FC	NA
Zhang Yuan	21	China PR	Guizhou Hengfeng FC	NA
T. Mourdoukoutas	19	Australia	Western Sydney Wanderers	2017-07-01
D. Craddock	20	Republic of Ireland	Aberdeen	2015-07-01
A. Al Yousif	21	Saudi Arabia	Al Fateh	2013-07-01
J. Steiger	17	Austria	Wolfsberger AC	2017-07-01
L. Schöfl	17	Austria	Wolfsberger AC	2018-07-01
O. Urhoghide	17	England	AFC Wimbledon	2018-04-06
C. Kennedy	24	Republic of Ireland	Limerick FC	2018-07-01
L. Finochietto	21	Argentina	Argentinos Juniors	2017-02-24
Wang Xuanhong	28	China PR	Beijing Renhe FC	2017-02-13
A. Eleftheriou	20	England	Watford	2016-06-17
Yu Bin	22	China PR	Beijing Renhe FC	2016-01-01
M. Woźniak	17	Poland	Lechia Gdańsk	2018-02-01
B. Reynolds	17	United States	FC Dallas	2016-11-22
J. Szpaderski	19	Poland	Miedź Legnica	2018-07-01
F. Konstandeliasz	19	Sweden	Malmö FF	2018-04-04
B. Seymour	19	England	Exeter City	2017-07-01
R. Grym	19	Poland	Wisła Płock	2018-08-31
C. Kelly	19	Republic of Ireland	St. Patrick's Athletic	2018-12-01
T. Rohde	18	Denmark	AC Horsens	2017-08-03
J. Pawlik	18	Poland	Zagłębie Sosnowiec	2018-07-18
H. Kisiel	17	Poland	Miedź Legnica	2018-10-25
S. Laitinen	18	Finland	HJK Helsinki	2018-01-01
L. Jephcott	18	Wales	Plymouth Argyle	2018-06-25
J. Imbrechts	16	Sweden	Sporting de Charleroi	2017-07-01
J. O'Keeffe	18	Republic of Ireland	Dundalk	2017-10-07
J. Heaton	21	England	St. Mirren	2018-06-21
A. Ammitzbøll	19	Denmark	Aarhus GF	2016-07-01
D. Schwizer	22	Switzerland	FC Thun	2018-01-01
Cao Sheng	23	China PR	Shandong Luneng TaiShan FC	2017-06-21
I. Richards	19	Australia	Adelaide United	2017-12-14
Zhu Zhengyu	23	China PR	Guizhou Hengfeng FC	2018-02-26
J. Ellis	17	England	Bray Wanderers	2017-01-01
B. Galach	17	Poland	Crawley Town	2018-06-27
W. Møller	20	Denmark	Esbjerg fB	2017-09-14
C. Addai	20	Ghana	Coventry City	2016-02-28
T. Jacobsen	20	Faroe Islands	SønderjyskE	2017-01-05
J. Adebayo-Smith	17	United States	Lincoln City	2018-09-01
Han Zilong	24	China PR	Changchun Yatai FC	2018-02-10
B. O'Gorman	16	Republic of Ireland	Bray Wanderers	2018-05-25
S. Al Wehimid	20	Saudi Arabia	Al Nassr	2018-04-12
L. Cornic	17	Norway	Vålerenga Fotball	2018-03-08
A. Ousou	18	Sweden	BK Häcken	2018-07-30
M. Gudmann	18	Denmark	FC Nordsjælland	2018-03-01
S. Foss	19	Norway	Sandefjord Fotball	2018-03-11
A. Perea	17	Colombia	Atlético Nacional	2018-09-14
J. Miszczuk	27	Poland	Jagiellonia Białystok	2018-08-08
Chen Ji	21	China PR	Guizhou Hengfeng FC	NA
A. Mills	24	England	Östersunds FK	2017-10-31
D. Asonganyi	17	England	Milton Keynes Dons	2017-10-03
D. Dillon	19	Republic of Ireland	Shamrock Rovers	2017-01-02
C. Cappis	18	United States	Hobro IK	2018-11-06
Zhou Xin	20	China PR	Stabæk Fotball	NA
Zhang Enge	21	China PR	Shanghai SIPG FC	2018-07-13
B. Hedley	19	England	Morecambe	2016-02-20
M. Alvir	24	Croatia	SK Slavia Praha	2017-01-01
T. Knowles	19	England	Cambridge United	2018-10-06
S. Parada	17	Chile	San Luis de Quillota	2018-07-01
C. Landa	19	Mexico	Tiburones Rojos de Veracruz	2018-06-01
Zhen'ao Wang	18	China PR	Vejle Boldklub	2018-01-15
S. Whaler	17	England	Northampton Town	2018-04-14
P. Omochere	17	Republic of Ireland	Bohemian FC	2018-09-22
G. Arndal-Lauritzen	20	Denmark	Brøndby IF	2017-06-01
J. Morris	18	England	Doncaster Rovers	2018-09-02
A. Suzuki	31	Japan	Yokohama F. Marinos	2017-01-06
K. Lara	16	Colombia	Atlético Huila	2018-07-06
M. Humpenöder	19	Germany	FC Würzburger Kickers	2018-09-25
K. Civelek	20	Turkey	BB Erzurumspor	2017-08-03
M. Antkowiak	18	Poland	Lincoln City	2017-07-01
N. Suman	18	Australia	Western Sydney Wanderers	2017-05-22
F. Nørgaard	19	Denmark	AC Horsens	2017-08-29
E. Destanoglu	17	Turkey	Beşiktaş JK	2018-07-01
C. Björk	18	Sweden	IFK Norrköping	2018-01-01
Teng Shangkun	27	China PR	Tianjin TEDA FC	2018-01-01
H. Wulff	18	Norway	Stabæk Fotball	2018-11-24
C. Mesa	20	Colombia	América de Cali	2018-10-05
M. Mansour	26	Saudi Arabia	Al Batin	2015-07-01
L. Valeau	19	Italy	Ascoli	NA
P. Phillips	19	Republic of Ireland	Cork City	2017-01-01
Hong Hyeon Seok	19	Korea Republic	SpVgg Unterhaching	2018-07-01
C. Walsh	17	Republic of Ireland	Bray Wanderers	2017-02-01
T. Miyamoto	19	Japan	Kashiwa Reysol	2018-01-01
R. Hurley	18	Republic of Ireland	Cork City	2018-10-05
Gao Dalun	21	China PR	Jiangsu Suning FC	2018-01-01
R. Hackett-Fairchild	20	England	Charlton Athletic	2016-10-20
L. Klitten	18	Denmark	Aalborg BK	2018-04-18
Zhang Jingyi	20	China PR	Jiangsu Suning FC	2018-01-01
T. Brownsword	18	England	Morecambe	2017-02-25
Zhang Gong	26	China PR	Guangzhou R&F; FC	2017-01-01
J. García	20	Mexico	Santos Laguna	2017-07-01
O. Dzonlagic	23	Switzerland	FC Thun	2016-07-01
E. Dahlqvist	19	Sweden	IFK Göteborg	2016-11-06
Liu Yi	21	China PR	Tianjin Quanjian FC	2018-01-10
D. Campbell	17	Scotland	Aberdeen	2017-05-12
M. Sutton	18	Australia	Melbourne Victory	2018-01-13
Sun Qibin	26	China PR	Tianjin Quanjian FC	2018-01-01
C. Hughes	18	Republic of Ireland	St. Patrick's Athletic	2018-06-08
T. Kawamura	18	Japan	Sanfrecce Hiroshima	2018-01-01
S. Al Saeed	19	Saudi Arabia	Al Taawoun	2018-07-28
B. Horton	17	England	Doncaster Rovers	2018-10-13
S. Bækgaard	18	Denmark	Esbjerg fB	2018-06-15
J. Mortensen	17	Denmark	Esbjerg fB	2018-08-19
J. Martin	19	Republic of Ireland	Waterford FC	2018-02-01
T. Allarakhia	20	England	Crawley Town	2018-08-01
M. Tokich	19	Australia	Western Sydney Wanderers	2017-07-13
Kwon Ki Pyo	21	Korea Republic	Pohang Steelers	2018-07-05
J. Foulston	17	Wales	Newport County	2017-01-01
J. Sheridan	18	England	Oldham Athletic	2018-07-01
M. Ichimaru	21	Japan	Gamba Osaka	2016-01-01
R. Shibamoto	18	Japan	Gamba Osaka	2018-07-16
H. Benns	18	England	Port Vale	2018-08-14
M. Schantl	17	Austria	TSV Hartberg	2018-06-01
P. Paya	18	Sweden	GIF Sundsvall	2018-04-26
G. Barry	18	Republic of Ireland	Limerick FC	2018-04-09
E. Bilen	17	Turkey	Göztepe SK	2018-07-01
M. Al Dhafeeri	19	Saudi Arabia	Al Batin	2018-01-01
S. Dawood	19	Saudi Arabia	Al Batin	2018-01-01
J. Granlund	18	Norway	Sandefjord Fotball	2017-08-03
M. Connor	21	Republic of Ireland	Waterford FC	2017-01-05
Zeng Qingshen	21	China PR	Vejle Boldklub	2018-07-17
B. Arapovic	19	Sweden	BK Häcken	2018-08-22
P. Żyra	20	Poland	Zagłębie Lubin	2015-02-13
J. Hipper	19	Germany	TSV 1860 München	2017-07-01
J. Lynch	18	England	Crewe Alexandra	2018-05-08
H. Bernat	17	Denmark	Odense Boldklub	2018-10-23
V. Smedsrud	18	Denmark	SønderjyskE	2018-06-15
T. Johnson	17	England	Crewe Alexandra	2018-05-08
J. Cleary	16	Republic of Ireland	Bohemian FC	2018-05-11
A. Osmanoski	18	FYR Macedonia	SpVgg Unterhaching	2017-07-01
J. Kelly	17	Republic of Ireland	Bray Wanderers	2018-07-20
O. Ollikainen	17	Finland	HJK Helsinki	2018-01-01
G. Tegue	18	Colombia	Independiente Medellín	2018-09-24
J. Lindstrøm	18	Denmark	Brøndby IF	2018-08-26
Chen Zhao	21	China PR	Shanghai Greenland Shenhua FC	2017-07-04
R. Pasquel	22	Mexico	Deportivo Toluca	2017-01-01
M. Al Qaydhi	20	Saudi Arabia	Al Raed	2018-01-01
O. Olsen	17	Denmark	FC Midtjylland	2018-02-01
K. Moesgaard	21	Denmark	Esbjerg fB	2017-07-01
T. Callens	19	France	Stade Malherbe Caen	2018-07-01
D. Collins	17	Republic of Ireland	Sligo Rovers	2018-05-25
J. Egan	19	England	Carlisle United	2017-01-01
Xie Xiaofan	20	China PR	Jiangsu Suning FC	2017-02-01
B. Buckley	17	England	Grimsby Town	2017-06-30
G. Figliuzzi	17	Italy	Crotone	2018-07-01
O. Finney	20	England	Crewe Alexandra	2015-07-01
G. Hollywood	16	Republic of Ireland	Bray Wanderers	2017-02-01
Zhu Jiayi	19	China PR	Shanghai SIPG FC	2018-07-13
B. Sass-Davies	18	Wales	Crewe Alexandra	2017-08-05
N. Stephan	17	Germany	FC Würzburger Kickers	2018-07-01
J. Greatorex	18	England	Barnsley	2018-03-17
J. James	18	Republic of Ireland	Luton Town	2018-07-01
F. Sinclair-Smith	17	England	Blackpool	2018-05-11
T. O'Connor	17	Republic of Ireland	Limerick FC	2018-07-06
Liu Yaoxin	20	China PR	Tianjin TEDA FC	2018-01-01
M. Finne Wørts	19	Denmark	FC Nordsjælland	2018-10-10
F. Ranocchia	17	Italy	Perugia	2017-07-01
N. Morahan	18	Republic of Ireland	Sligo Rovers	2017-08-02
A. Kelsey	18	England	Scunthorpe United	2017-01-26
M. Foy	19	England	Cambridge United	2018-10-04
Yin Congyao	21	China PR	Chongqing Dangdai Lifan FC SWM Team	2018-04-02
Liu Bin	20	China PR	Chongqing Dangdai Lifan FC SWM Team	2018-02-08
K. Hawley	18	England	Morecambe	2017-03-31
Chen Yajun	19	China PR	Guangzhou R&F; FC	2018-01-01
Li Yuyang	20	China PR	Guangzhou R&F; FC	2016-08-01
W. Henry	19	England	Swindon Town	2016-03-12
J. Garcia Sossa	18	Bolivia	CD Huachipato	2018-03-31
M. Harsman	18	Germany	SV Meppen	2018-07-01
R. Griffiths	18	England	Crewe Alexandra	2018-05-08
D. Mackay	21	Scotland	Kilmarnock	2013-07-01
A. Iontton	17	England	Stevenage	2018-07-20
W. Appleyard	18	England	Stevenage	2018-01-01
